service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2447860,2447860,20,2797188,2797188,30,577
2019/11/01 04:00:00+00,Ferry,Ferry,105200,105200,20,147331,147331,30,578
2019/11/01 04:00:00+00,Rail,Green Line,3510859,3510859,20,4280366,4280366,30,579
2019/11/01 04:00:00+00,Rail,Orange Line,4165782,4165782,20,4680848,4680848,30,580
2019/11/01 04:00:00+00,Rail,Red Line,5144157,5144157,20,5843990,5843990,30,581
2019/11/01 04:00:00+00,Bus,Silver Line,829138,829138,20,1024992,1024992,30,582
2019/11/01 04:00:00+00,The RIDE,The RIDE,115260,115260,20,108256,108256,30,583
2019/12/01 05:00:00+00,Rail,Blue Line,1310945,1310945,21,1626513,1626513,31,584
2019/12/01 05:00:00+00,Bus,Bus,6687806,6687806,21,7991149,7991149,31,585
2019/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2538270,2538270,21,2679997,2679997,31,586
2019/12/01 05:00:00+00,Ferry,Ferry,93492,93492,21,140704,140704,31,587
2019/12/01 05:00:00+00,Rail,Green Line,3267278,3267278,21,4011537,4011537,31,588
2019/12/01 05:00:00+00,Rail,Orange Line,3895916,3895916,21,4607713,4607713,31,589
2019/12/01 05:00:00+00,Rail,Red Line,4735624,4735624,21,5341073,5341073,31,590
2019/12/01 05:00:00+00,Bus,Silver Line,739832,739832,21,910832,910832,31,591
2019/12/01 05:00:00+00,The RIDE,The RIDE,109914,109914,21,95797,95797,31,592
2020/01/01 05:00:00+00,Rail,Blue Line,1397179,1397179,21,1761812,1761812,31,593
2020/01/01 05:00:00+00,Bus,Bus,7358106,7358106,21,8720857,8720857,31,594
2020/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2506182,2506182,21,2751882,2751882,31,595
2020/01/01 05:00:00+00,Ferry,Ferry,106785,106785,21,149484,149484,31,596
2020/01/01 05:00:00+00,Rail,Green Line,3473442,3473442,21,4380768,4380768,31,597
2020/01/01 05:00:00+00,Rail,Orange Line,4321821,4321821,21,5041751,5041751,31,598
2020/01/01 05:00:00+00,Rail,Red Line,5260299,5260299,21,6286266,6286266,31,599
2020/01/01 05:00:00+00,Bus,Silver Line,778615,778615,21,973248,973248,31,600
2020/07/01 04:00:00+00,Rail,Green Line,622270,622270,23,758147,758147,31,601
2020/07/01 04:00:00+00,Rail,Orange Line,980535,980535,23,1186796,1186796,31,602
2020/07/01 04:00:00+00,Rail,Red Line,1066068,1066068,23,1279618,1279618,31,603
2020/07/01 04:00:00+00,Bus,Silver Line,297526,297526,23,393234,393234,31,604
2020/07/01 04:00:00+00,The RIDE,The RIDE,43597,43597,23,60480,60480,31,605
2020/08/01 04:00:00+00,Rail,Blue Line,491557,491557,21,575160,575160,31,606
2020/08/01 04:00:00+00,Bus,Bus,2937396,2937396,21,3843412,3843412,31,607
2020/08/01 04:00:00+00,Commuter Rail,Commuter Rail,275983,275983,21,308476,308476,31,608
2020/08/01 04:00:00+00,Ferry,Ferry,18312,18312,21,18319,18319,31,609
2020/08/01 04:00:00+00,Rail,Green Line,749944,749944,21,987774,987774,31,610
2020/08/01 04:00:00+00,Rail,Orange Line,1017020,1017020,21,1296660,1296660,31,611
2020/08/01 04:00:00+00,Rail,Red Line,1134155,1134155,21,1458827,1458827,31,612
2020/08/01 04:00:00+00,Bus,Silver Line,280178,280178,21,385679,385679,31,613
2020/08/01 04:00:00+00,The RIDE,The RIDE,40673,40673,21,55066,55066,31,614
2020/09/01 04:00:00+00,Rail,Blue Line,534765,534765,21,698212,698212,30,615
2020/09/01 04:00:00+00,Bus,Bus,3290779,3290779,21,4099515,4099515,30,616
2020/09/01 04:00:00+00,Commuter Rail,Commuter Rail,318769,318769,21,345989,345989,30,617
2020/09/01 04:00:00+00,Ferry,Ferry,16527,16527,21,16534,16534,30,618
2020/09/01 04:00:00+00,Rail,Green Line,966037,966037,21,1270411,1270411,30,619
2020/09/01 04:00:00+00,Rail,Orange Line,1180225,1180225,21,1508907,1508907,30,620
2020/09/01 04:00:00+00,Rail,Red Line,1288872,1288872,21,1644315,1644315,30,621
2020/09/01 04:00:00+00,Bus,Silver Line,296861,296861,21,386212,386212,30,622
2020/09/01 04:00:00+00,The RIDE,The RIDE,45219,45219,21,60279,60279,30,623
2020/10/01 04:00:00+00,Rail,Blue Line,538534,538534,22,699029,699029,31,624
2020/10/01 04:00:00+00,Bus,Bus,3397061,3397061,22,4216339,4216339,31,625
2020/10/01 04:00:00+00,Commuter Rail,Commuter Rail,346828,346828,22,408247,408247,31,626
2020/10/01 04:00:00+00,Ferry,Ferry,12210,12210,22,12203,12203,31,627
2020/10/01 04:00:00+00,Rail,Green Line,1024202,1024202,22,1350943,1350943,31,628
2020/10/01 04:00:00+00,Rail,Orange Line,1235415,1235415,22,1574354,1574354,31,629
2020/10/01 04:00:00+00,Rail,Red Line,1354516,1354516,22,1729511,1729511,31,630
2020/10/01 04:00:00+00,Bus,Silver Line,313542,313542,22,403971,403971,31,631
2020/10/01 04:00:00+00,The RIDE,The RIDE,47342,47342,22,64297,64297,31,632
2020/11/01 04:00:00+00,Rail,Blue Line,456621,456621,20,604304,604304,30,633
2020/11/01 04:00:00+00,Bus,Bus,2998614,2998614,20,3785357,3785357,30,634
2020/11/01 04:00:00+00,Commuter Rail,Commuter Rail,342923,342923,20,387367,387367,30,635
2020/11/01 04:00:00+00,Ferry,Ferry,10280,10280,20,11275,11275,30,636
2020/11/01 04:00:00+00,Rail,Green Line,867656,867656,20,1146277,1146277,30,637
2020/11/01 04:00:00+00,Rail,Orange Line,1044079,1044079,20,1345735,1345735,30,638
2020/11/01 04:00:00+00,Rail,Red Line,1144846,1144846,20,1477327,1477327,30,639
2020/11/01 04:00:00+00,Bus,Silver Line,275619,275619,20,365668,365668,30,640
2020/11/01 04:00:00+00,The RIDE,The RIDE,43975,43975,20,59815,59815,30,641
2020/12/01 05:00:00+00,Rail,Blue Line,451335,451335,22,560106,560106,31,642
2020/12/01 05:00:00+00,Bus,Bus,3082973,3082973,22,3700267,3700267,31,643
2020/12/01 05:00:00+00,Commuter Rail,Commuter Rail,293773,293773,22,327341,327341,31,644
2020/12/01 05:00:00+00,Ferry,Ferry,7876,7876,22,7872,7872,31,645
2020/12/01 05:00:00+00,Rail,Green Line,820629,820629,22,1015921,1015921,31,646
2020/12/01 05:00:00+00,Rail,Orange Line,1028409,1028409,22,1220244,1220244,31,647
2020/12/01 05:00:00+00,Rail,Red Line,1143482,1143482,22,1389002,1389002,31,648
2020/12/01 05:00:00+00,Bus,Silver Line,292128,292128,22,371044,371044,31,649
2020/12/01 05:00:00+00,The RIDE,The RIDE,44471,44471,22,59636,59636,31,650
2021/06/01 04:00:00+00,Rail,Orange Line,1612670,1612670,22,1995451,1995451,30,651
2021/06/01 04:00:00+00,Rail,Red Line,1946359,1946359,22,2420917,2420917,30,652
2021/06/01 04:00:00+00,Bus,Silver Line,418916,418916,22,526528,526528,30,653
2021/06/01 04:00:00+00,The RIDE,The RIDE,58594,58594,22,68711,68711,30,654
2021/07/01 04:00:00+00,Rail,Blue Line,738205,738205,22,987719,987719,31,655
2021/07/01 04:00:00+00,Bus,Bus,4014668,4014668,22,5005340,5005340,31,656
2021/07/01 04:00:00+00,Commuter Rail,Commuter Rail,649985,649985,22,771532,771532,31,657
2021/07/01 04:00:00+00,Ferry,Ferry,53003,53003,22,68016,68016,31,658
2021/07/01 04:00:00+00,Rail,Green Line,1677128,1677128,22,2228599,2228599,31,659
2021/07/01 04:00:00+00,Rail,Orange Line,1714910,1714910,22,2233289,2233289,31,660
2021/07/01 04:00:00+00,Rail,Red Line,2073657,2073657,22,2692995,2692995,31,661
2021/07/01 04:00:00+00,Bus,Silver Line,437004,437004,22,576309,576309,31,662
2021/07/01 04:00:00+00,The RIDE,The RIDE,56089,56089,22,67121,67121,31,663
2021/08/01 04:00:00+00,Rail,Blue Line,791034,791034,22,1026682,1026682,31,664
2021/08/01 04:00:00+00,Bus,Bus,4328505,4328505,22,5243797,5243797,31,665
2021/08/01 04:00:00+00,Commuter Rail,Commuter Rail,736562,736562,22,860464,860464,31,666
2021/08/01 04:00:00+00,Ferry,Ferry,50021,50021,22,63607,63607,31,667
2021/08/01 04:00:00+00,Rail,Green Line,1812627,1812627,22,2308907,2308907,31,668
2021/08/01 04:00:00+00,Rail,Orange Line,1872653,1872653,22,2351879,2351879,31,669
2021/08/01 04:00:00+00,Rail,Red Line,2253065,2253065,22,2825162,2825162,31,670
2021/08/01 04:00:00+00,Bus,Silver Line,468132,468132,22,593842,593842,31,671
2021/08/01 04:00:00+00,The RIDE,The RIDE,56713,56713,22,67155,67155,31,672
2021/09/01 04:00:00+00,Rail,Blue Line,858551,858551,21,1122408,1122408,30,673
2021/09/01 04:00:00+00,Bus,Bus,5014310,5014310,21,6026467,6026467,30,674
2021/09/01 04:00:00+00,Commuter Rail,Commuter Rail,978777,978777,21,1135782,1135782,30,675
2021/09/01 04:00:00+00,Ferry,Ferry,41106,41106,21,51686,51686,30,676
2021/09/01 04:00:00+00,Rail,Green Line,2283557,2283557,21,3000467,3000467,30,677
2021/09/01 04:00:00+00,Rail,Orange Line,2160932,2160932,21,2737988,2737988,30,678
2021/09/01 04:00:00+00,Rail,Red Line,2718541,2718541,21,3403839,3403839,30,679
2021/09/01 04:00:00+00,Bus,Silver Line,487975,487975,21,628547,628547,30,680
2021/09/01 04:00:00+00,The RIDE,The RIDE,61257,61257,21,75787,75787,30,681
2021/10/01 04:00:00+00,Rail,Blue Line,876422,876422,21,1163572,1163572,31,682
2021/10/01 04:00:00+00,Bus,Bus,5081598,5081598,21,6213440,6213440,31,683
2021/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1086358,1086358,21,1361595,1361595,31,684
2021/10/01 04:00:00+00,Ferry,Ferry,36871,36871,21,43954,43954,31,685
2021/10/01 04:00:00+00,Rail,Green Line,2284689,2284689,21,3047920,3047920,31,686
2021/10/01 04:00:00+00,Rail,Orange Line,2246083,2246083,21,2919098,2919098,31,687
2021/10/01 04:00:00+00,Rail,Red Line,2676646,2676646,21,3428527,3428527,31,688
2021/10/01 04:00:00+00,Bus,Silver Line,505493,505493,21,656469,656469,31,689
2021/10/01 04:00:00+00,The RIDE,The RIDE,64281,64281,21,78976,78976,31,690
2021/11/01 04:00:00+00,Rail,Blue Line,806916,806916,21,1023665,1023665,30,691
2021/11/01 04:00:00+00,Bus,Bus,4947040,4947040,21,5877689,5877689,30,692
2021/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1122143,1122143,21,1316818,1316818,30,693
2021/11/01 04:00:00+00,Ferry,Ferry,37799,37799,21,40721,40721,30,694
2021/11/01 04:00:00+00,Rail,Green Line,2142171,2142171,21,2698728,2698728,30,695
2021/11/01 04:00:00+00,Rail,Orange Line,2180304,2180304,21,2695651,2695651,30,696
2021/11/01 04:00:00+00,Rail,Red Line,2517633,2517633,21,3063867,3063867,30,697
2021/11/01 04:00:00+00,Bus,Silver Line,489273,489273,21,611697,611697,30,698
2021/11/01 04:00:00+00,The RIDE,The RIDE,59934,59934,21,74533,74533,30,699
2021/12/01 05:00:00+00,Rail,Blue Line,786707,786707,23,976287,976287,31,700
2022/05/01 04:00:00+00,Rail,Red Line,2702706,2702706,21,3483042,3483042,31,701
2022/05/01 04:00:00+00,Bus,Silver Line,570479,570479,21,742657,742657,31,702
2022/05/01 04:00:00+00,The RIDE,The RIDE,71654,71654,21,85959,85959,31,703
2022/06/01 04:00:00+00,Rail,Blue Line,919814,919814,22,1152060,1152060,30,704
2022/06/01 04:00:00+00,Bus,Bus,5276170,5276170,22,6237320,6237320,30,705
2022/06/01 04:00:00+00,Commuter Rail,Commuter Rail,1456140,1456140,22,1629720,1629720,30,706
2022/06/01 04:00:00+00,Ferry,Ferry,73004,73004,22,86766,86766,30,707
2022/06/01 04:00:00+00,Rail,Green Line,2176675,2176675,22,2711185,2711185,30,708
2022/06/01 04:00:00+00,Rail,Orange Line,2389392,2389392,22,2869831,2869831,30,709
2022/06/01 04:00:00+00,Rail,Red Line,2856478,2856478,22,3431343,3431343,30,710
2022/06/01 04:00:00+00,Bus,Silver Line,573015,573015,22,710409,710409,30,711
2022/06/01 04:00:00+00,The RIDE,The RIDE,73854,73854,22,87237,87237,30,712
2022/07/01 04:00:00+00,Rail,Blue Line,825465,825465,20,1152608,1152608,31,713
2022/07/01 04:00:00+00,Bus,Bus,4625947,4625947,20,5925119,5925119,31,714
2022/07/01 04:00:00+00,Commuter Rail,Commuter Rail,1352286,1352286,20,1554254,1554254,31,715
2022/07/01 04:00:00+00,Ferry,Ferry,82336,82336,20,109055,109055,31,716
2022/07/01 04:00:00+00,Rail,Green Line,1932396,1932396,20,2659999,2659999,31,717
2022/07/01 04:00:00+00,Rail,Orange Line,2083845,2083845,20,2722347,2722347,31,718
2022/07/01 04:00:00+00,Rail,Red Line,2554980,2554980,20,3264353,3264353,31,719
2022/07/01 04:00:00+00,Bus,Silver Line,534787,534787,20,721943,721943,31,720
2022/07/01 04:00:00+00,The RIDE,The RIDE,67032,67032,20,82467,82467,31,721
2022/08/01 04:00:00+00,Rail,Blue Line,908146,908146,23,1145314,1145314,31,722
2022/08/01 04:00:00+00,Bus,Bus,5297690,5297690,23,6287095,6287095,31,723
2022/08/01 04:00:00+00,Commuter Rail,Commuter Rail,1717271,1717271,23,1875880,1875880,31,724
2022/08/01 04:00:00+00,Ferry,Ferry,91008,91008,23,113439,113439,31,725
2022/08/01 04:00:00+00,Rail,Green Line,1943055,1943055,23,2452184,2452184,31,726
2022/08/01 04:00:00+00,Rail,Orange Line,1719550,1719550,23,2041865,2041865,31,727
2022/08/01 04:00:00+00,Rail,Red Line,2724989,2724989,23,3296640,3296640,31,728
2022/08/01 04:00:00+00,Bus,Silver Line,631876,631876,23,779211,779211,31,729
2022/08/01 04:00:00+00,The RIDE,The RIDE,76245,76245,23,89273,89273,31,730
2022/09/01 04:00:00+00,Rail,Blue Line,930721,930721,21,1206808,1206808,30,731
2022/09/01 04:00:00+00,Bus,Bus,5508602,5508602,21,6616814,6616814,30,732
2022/09/01 04:00:00+00,Commuter Rail,Commuter Rail,1731028,1731028,21,1955305,1955305,30,733
2022/09/01 04:00:00+00,Ferry,Ferry,75126,75126,21,92489,92489,30,734
2022/09/01 04:00:00+00,Rail,Green Line,2010944,2010944,21,2627640,2627640,30,735
2022/09/01 04:00:00+00,Rail,Orange Line,1368907,1368907,21,1618080,1618080,30,736
2022/09/01 04:00:00+00,Rail,Red Line,2737182,2737182,21,3396728,3396728,30,737
2022/09/01 04:00:00+00,Bus,Silver Line,600894,600894,21,743786,743786,30,738
2022/09/01 04:00:00+00,The RIDE,The RIDE,75614,75614,21,88976,88976,30,739
2022/10/01 04:00:00+00,Rail,Blue Line,923741,923741,21,1234913,1234913,31,740
2022/10/01 04:00:00+00,Bus,Bus,5500695,5500695,21,6775570,6775570,31,741
2022/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1764085,1764085,21,2105849,2105849,31,742
2022/10/01 04:00:00+00,Ferry,Ferry,68437,68437,21,79689,79689,31,743
2022/10/01 04:00:00+00,Rail,Green Line,1968853,1968853,21,2661163,2661163,31,744
2022/10/01 04:00:00+00,Rail,Orange Line,2288133,2288133,21,2953184,2953184,31,745
2022/10/01 04:00:00+00,Rail,Red Line,2819585,2819585,21,3570084,3570084,31,746
2022/10/01 04:00:00+00,Bus,Silver Line,587607,587607,21,758539,758539,31,747
2022/10/01 04:00:00+00,The RIDE,The RIDE,73101,73101,21,89414,89414,31,748
2022/11/01 04:00:00+00,Rail,Blue Line,909200,909200,21,1166113,1166113,30,749
2022/11/01 04:00:00+00,Bus,Bus,5293748,5293748,21,6312454,6312454,30,750
2021/12/01 05:00:00+00,Bus,Bus,4497860,4497860,23,5438831,5438831,31,751
2021/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1024813,1024813,23,1141384,1141384,31,752
2021/12/01 05:00:00+00,Ferry,Ferry,31507,31507,23,32649,32649,31,753
2021/12/01 05:00:00+00,Rail,Green Line,1916108,1916108,23,2388560,2388560,31,754
2021/12/01 05:00:00+00,Rail,Orange Line,2023699,2023699,23,2458522,2458522,31,755
2021/12/01 05:00:00+00,Rail,Red Line,2231045,2231045,23,2674844,2674844,31,756
2021/12/01 05:00:00+00,Bus,Silver Line,456036,456036,23,589137,589137,31,757
2021/12/01 05:00:00+00,The RIDE,The RIDE,64676,64676,23,75386,75386,31,758
2022/01/01 05:00:00+00,Rail,Blue Line,617268,617268,20,797367,797367,31,759
2022/01/01 05:00:00+00,Bus,Bus,3835742,3835742,20,4659493,4659493,31,760
2022/01/01 05:00:00+00,Commuter Rail,Commuter Rail,729933,729933,20,848770,848770,31,761
2022/01/01 05:00:00+00,Ferry,Ferry,16591,16591,20,17247,17247,31,762
2022/01/01 05:00:00+00,Rail,Green Line,1486916,1486916,20,1955158,1955158,31,763
2022/01/01 05:00:00+00,Rail,Orange Line,1573912,1573912,20,1986122,1986122,31,764
2022/01/01 05:00:00+00,Rail,Red Line,1709921,1709921,20,2148255,2148255,31,765
2022/01/01 05:00:00+00,Bus,Silver Line,369583,369583,20,483199,483199,31,766
2022/01/01 05:00:00+00,The RIDE,The RIDE,53865,53865,20,62548,62548,31,767
2022/02/01 05:00:00+00,Rail,Blue Line,678309,678309,19,887788,887788,28,768
2022/02/01 05:00:00+00,Bus,Bus,4119991,4119991,19,5045702,5045702,28,769
2022/02/01 05:00:00+00,Commuter Rail,Commuter Rail,846107,846107,19,970097,970097,28,770
2022/02/01 05:00:00+00,Ferry,Ferry,23784,23784,19,25274,25274,28,771
2022/02/01 05:00:00+00,Rail,Green Line,1788066,1788066,19,2394233,2394233,28,772
2022/02/01 05:00:00+00,Rail,Orange Line,1805723,1805723,19,2271725,2271725,28,773
2022/02/01 05:00:00+00,Rail,Red Line,2055200,2055200,19,2625136,2625136,28,774
2022/02/01 05:00:00+00,Bus,Silver Line,397402,397402,19,512852,512852,28,775
2022/02/01 05:00:00+00,The RIDE,The RIDE,56920,56920,19,67034,67034,28,776
2022/03/01 05:00:00+00,Rail,Blue Line,913745,913745,23,1112833,1112833,31,777
2022/03/01 05:00:00+00,Bus,Bus,5470492,5470492,23,6313503,6313503,31,778
2022/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1330024,1330024,23,1489943,1489943,31,779
2022/03/01 05:00:00+00,Ferry,Ferry,45309,45309,23,47624,47624,31,780
2022/03/01 05:00:00+00,Rail,Green Line,2319955,2319955,23,2861864,2861864,31,781
2022/03/01 05:00:00+00,Rail,Orange Line,2375081,2375081,23,2777631,2777631,31,782
2022/03/01 05:00:00+00,Rail,Red Line,2838860,2838860,23,3359469,3359469,31,783
2022/03/01 05:00:00+00,Bus,Silver Line,549718,549718,23,669664,669664,31,784
2022/03/01 05:00:00+00,The RIDE,The RIDE,76406,76406,23,87827,87827,31,785
2022/04/01 04:00:00+00,Rail,Blue Line,779745,779745,21,1019266,1019266,30,786
2022/04/01 04:00:00+00,Bus,Bus,4889521,4889521,21,5927733,5927733,30,787
2022/04/01 04:00:00+00,Commuter Rail,Commuter Rail,1319519,1319519,21,1509267,1509267,30,788
2022/04/01 04:00:00+00,Ferry,Ferry,48427,48427,21,52280,52280,30,789
2022/04/01 04:00:00+00,Rail,Green Line,2192050,2192050,21,2878507,2878507,30,790
2022/04/01 04:00:00+00,Rail,Orange Line,2233210,2233210,21,2793194,2793194,30,791
2022/04/01 04:00:00+00,Rail,Red Line,2682417,2682417,21,3286475,3286475,30,792
2022/04/01 04:00:00+00,Bus,Silver Line,533899,533899,21,676215,676215,30,793
2022/04/01 04:00:00+00,The RIDE,The RIDE,69279,69279,21,83670,83670,30,794
2022/05/01 04:00:00+00,Rail,Blue Line,600224,600224,21,808015,808015,31,795
2022/05/01 04:00:00+00,Bus,Bus,5126095,5126095,21,6257742,6257742,31,796
2022/05/01 04:00:00+00,Commuter Rail,Commuter Rail,1316186,1316186,21,1526921,1526921,31,797
2022/05/01 04:00:00+00,Ferry,Ferry,55231,55231,21,64332,64332,31,798
2022/05/01 04:00:00+00,Rail,Green Line,2034787,2034787,21,2741708,2741708,31,799
2022/05/01 04:00:00+00,Rail,Orange Line,2204981,2204981,21,2825014,2825014,31,800
2022/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1675246,1675246,21,1913514,1913514,30,801
2022/11/01 04:00:00+00,Ferry,Ferry,60994,60994,21,64684,64684,30,802
2022/11/01 04:00:00+00,Rail,Green Line,2009808,2009808,21,2575198,2575198,30,803
2022/11/01 04:00:00+00,Rail,Orange Line,2280677,2280677,21,2821277,2821277,30,804
2022/11/01 04:00:00+00,Rail,Red Line,2717965,2717965,21,3323345,3323345,30,805
2022/11/01 04:00:00+00,Bus,Silver Line,581329,581329,21,733218,733218,30,806
2022/11/01 04:00:00+00,The RIDE,The RIDE,72490,72490,21,84969,84969,30,807
2022/12/01 05:00:00+00,Rail,Blue Line,828547,828547,21,1069147,1069147,31,808
2022/12/01 05:00:00+00,Bus,Bus,4733062,4733062,21,5750635,5750635,31,809
2022/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1541928,1541928,21,1752446,1752446,31,810
2022/12/01 05:00:00+00,Ferry,Ferry,48765,48765,21,50342,50342,31,811
2022/12/01 05:00:00+00,Rail,Green Line,1780526,1780526,21,2296063,2296063,31,812
2022/12/01 05:00:00+00,Rail,Orange Line,2058020,2058020,21,2558359,2558359,31,813
2022/12/01 05:00:00+00,Rail,Red Line,2381985,2381985,21,2884821,2884821,31,814
2022/12/01 05:00:00+00,Bus,Silver Line,515883,515883,21,673921,673921,31,815
2022/12/01 05:00:00+00,The RIDE,The RIDE,69212,69212,21,83404,83404,31,816
2023/01/01 05:00:00+00,Rail,Blue Line,811423,811423,20,1092304,1092304,31,817
2023/01/01 05:00:00+00,Bus,Bus,4843446,4843446,20,6026436,6026436,31,818
2023/01/01 05:00:00+00,Commuter Rail,Commuter Rail,1640819,1640819,20,1840509,1840509,31,819
2023/01/01 05:00:00+00,Ferry,Ferry,53932,53932,20,57755,57755,31,820
2023/01/01 05:00:00+00,Rail,Green Line,1846061,1846061,20,2510300,2510300,31,821
2023/01/01 05:00:00+00,Rail,Orange Line,2048337,2048337,20,2580309,2580309,31,822
2023/01/01 05:00:00+00,Rail,Red Line,2379071,2379071,20,3016131,3016131,31,823
2023/01/01 05:00:00+00,Bus,Silver Line,505262,505262,20,675591,675591,31,824
2023/01/01 05:00:00+00,The RIDE,The RIDE,70378,70378,20,83708,83708,31,825
2023/02/01 05:00:00+00,Rail,Blue Line,798380,798380,19,1031718,1031718,28,826
2023/02/01 05:00:00+00,Bus,Bus,4589920,4589920,19,5592079,5592079,28,827
2023/02/01 05:00:00+00,Commuter Rail,Commuter Rail,1531884,1531884,19,1704568,1704568,28,828
2023/02/01 05:00:00+00,Ferry,Ferry,48789,48789,19,50578,50578,28,829
2023/02/01 05:00:00+00,Rail,Green Line,1752491,1752491,19,2278198,2278198,28,830
2023/02/01 05:00:00+00,Rail,Orange Line,1950194,1950194,19,2371510,2371510,28,831
2023/02/01 05:00:00+00,Rail,Red Line,2237897,2237897,19,2747974,2747974,28,832
2023/02/01 05:00:00+00,Bus,Silver Line,465735,465735,19,596547,596547,28,833
2023/02/01 05:00:00+00,The RIDE,The RIDE,66080,66080,19,78197,78197,28,834
2023/03/01 05:00:00+00,Rail,Blue Line,1014832,1014832,23,1246648,1246648,31,835
2023/03/01 05:00:00+00,Bus,Bus,5879290,5879290,23,6812317,6812317,31,836
2023/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1889751,1889751,23,2106535,2106535,31,837
2023/03/01 05:00:00+00,Ferry,Ferry,63672,63672,23,65883,65883,31,838
2023/03/01 05:00:00+00,Rail,Green Line,2317553,2317553,23,2840964,2840964,31,839
2023/03/01 05:00:00+00,Rail,Orange Line,2417862,2417862,23,2828634,2828634,31,840
2023/03/01 05:00:00+00,Rail,Red Line,2740930,2740930,23,3138878,3138878,31,841
2023/03/01 05:00:00+00,Bus,Silver Line,615675,615675,23,741245,741245,31,842
2023/03/01 05:00:00+00,The RIDE,The RIDE,82064,82064,23,94862,94862,31,843
2023/04/01 04:00:00+00,Rail,Blue Line,900745,900745,20,1201506,1201506,30,844
2023/04/01 04:00:00+00,Bus,Bus,4952698,4952698,20,6347726,6347726,30,845
2023/04/01 04:00:00+00,Commuter Rail,Commuter Rail,1701832,1701832,20,2075362,2075362,30,846
2023/04/01 04:00:00+00,Ferry,Ferry,75162,75162,20,81549,81549,30,847
2023/04/01 04:00:00+00,Rail,Green Line,2158067,2158067,20,2879067,2879067,30,848
2023/04/01 04:00:00+00,Rail,Orange Line,2128243,2128243,20,2640281,2640281,30,849
2023/04/01 04:00:00+00,Rail,Red Line,2481668,2481668,20,3048849,3048849,30,850
2023/04/01 04:00:00+00,Bus,Silver Line,523782,523782,20,714204,714204,30,851
2023/04/01 04:00:00+00,The RIDE,The RIDE,70720,70720,20,87143,87143,30,852
2023/05/01 04:00:00+00,Rail,Blue Line,1037611,1037611,22,1343024,1343024,31,853
2023/05/01 04:00:00+00,Bus,Bus,5867238,5867238,22,7017792,7017792,31,854
2023/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2056788,2056788,22,2318035,2318035,31,855
2023/05/01 04:00:00+00,Ferry,Ferry,94646,94646,22,111263,111263,31,856
2023/05/01 04:00:00+00,Rail,Green Line,2246453,2246453,22,2847847,2847847,31,857
2023/05/01 04:00:00+00,Rail,Orange Line,2331720,2331720,22,2868265,2868265,31,858
2023/05/01 04:00:00+00,Rail,Red Line,2726452,2726452,22,3264988,3264988,31,859
2023/05/01 04:00:00+00,Bus,Silver Line,653041,653041,22,819313,819313,31,860
2023/05/01 04:00:00+00,The RIDE,The RIDE,81719,81719,22,95704,95704,31,861
2023/06/01 04:00:00+00,Rail,Blue Line,1048691,1048691,22,1316014,1316014,30,862
2023/06/01 04:00:00+00,Bus,Bus,5530092,5530092,22,6506803,6506803,30,863
2023/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2044565,2044565,22,2288229,2288229,30,864
2023/06/01 04:00:00+00,Ferry,Ferry,111753,111753,22,129884,129884,30,865
2023/06/01 04:00:00+00,Rail,Green Line,2017491,2017491,22,2524214,2524214,30,866
2023/06/01 04:00:00+00,Rail,Orange Line,2272356,2272356,22,2762676,2762676,30,867
2023/06/01 04:00:00+00,Rail,Red Line,2696143,2696143,22,3265139,3265139,30,868
2023/06/01 04:00:00+00,Bus,Silver Line,665353,665353,22,816953,816953,30,869
2023/06/01 04:00:00+00,The RIDE,The RIDE,78100,78100,22,91741,91741,30,870
2023/07/01 04:00:00+00,Rail,Blue Line,1068688,1068688,20,1495078,1495078,31,871
2023/07/01 04:00:00+00,Bus,Bus,4946437,4946437,20,6301030,6301030,31,872
2023/07/01 04:00:00+00,Commuter Rail,Commuter Rail,1861427,1861427,20,2187378,2187378,31,873
2023/07/01 04:00:00+00,Ferry,Ferry,136677,136677,20,177195,177195,31,874
2023/07/01 04:00:00+00,Rail,Green Line,1914418,1914418,20,2608086,2608086,31,875
2023/07/01 04:00:00+00,Rail,Orange Line,2119284,2119284,20,2822791,2822791,31,876
2023/07/01 04:00:00+00,Rail,Red Line,2503137,2503137,20,3237391,3237391,31,877
2023/07/01 04:00:00+00,Bus,Silver Line,616253,616253,20,825974,825974,31,878
2023/07/01 04:00:00+00,The RIDE,The RIDE,71967,71967,20,88664,88664,31,879
